_RAJ2000 deg,_DEJ2000 deg,SpTypeFull,Sp,Tc,Lc,[Fe/H] sun,age Gyr,Npl,B-V mag,Kmag mag,Lum Lsun,Name
307.2945734,-57.17762262,A2IV/V                    ,A2,32,4,     ,    , ,0.092,      ,         ,
307.2961595,47.10487417,A5                        ,A5,35, ,     ,    , ,0.234,1.61,10.42,
307.2987662,4.456605287,F7 V                      ,F7,47,5,-0.14,0.5, ,0.512,2.99,1.82,
307.2995297,-29.39301667,G2/3 V                    ,G2,52,5,     ,    , ,0.673,3.15,1.16,
307.3036657,33.50874182,A0                        ,A0,30, ,     ,    , ,-0.008,      ,         ,
307.3064407,37.51274872,G8III                     ,G8,58,3,     ,    , ,0.674,      ,         ,
307.3157527,-40.41702335,M5/7E                     ,M5,75, ,     ,    , ,1.5,      ,         ,
307.3248245,-64.3942271,M3III                     ,M3,73,3,     ,    , ,1.686,      ,         ,
307.3287271,60.42163233,A0                        ,A0,30, ,     ,    , ,0.04,1.18,28.79,
307.3340876,46.6663959,B1V:nne                   ,B1,21,5,     ,    , ,0.28,      ,         ,
307.33496,36.45472842,A1Ib                      ,A1,31,1,-0.06,    , ,0.407,      ,         ,42 Cygni HR 7835
307.3367599,50.46034423,B9                        ,B9,29, ,     ,    , ,0.019,      ,         ,
307.337183,4.588398428,A0 V                      ,A0,30,5,     ,    , ,0.049,      ,         ,
307.3380964,20.08769918,A3   M                    ,A3,33, ,     ,    , ,0.233,1.82,9.5,HR 7833
307.338766,29.79833962,A2                        ,A2,32, ,     ,    , ,0.171,      ,         ,
307.3401616,-34.11131154,K0 III                    ,K0,60,3,     ,    , ,0.967,      ,         ,
307.3409511,35.02755586,K0                        ,K0,60, ,     ,    , ,1.064,      ,         ,
307.3417407,25.07422872,K5                        ,K5,65, ,     ,    , ,1.5,      ,         ,
307.3480217,60.96774396,A0                        ,A0,30, ,     ,    , ,0.15,      ,         ,
307.3488983,30.36855463,F5Ib-II                   ,F5,45,1,0.21,    , ,0.404,-3.96,1158.2,41 Cygni HR 7834
307.3566528,1.542001824,M1                        ,M1,71, ,     ,    , ,0.569,      ,         ,
307.3598518,-61.47650372,F3V                       ,F3,43,5,     ,    , ,0.463,2.58,2.89,
307.3598096,9.897830915,M7                        ,M7,77, ,     ,    , ,1.511,      ,         ,
307.3611893,-49.78295241,A1/2 VN                   ,A1,31,5,     ,    , ,0.1,      ,         ,
307.3617641,44.52959685,B8                        ,B8,28, ,     ,    , ,0.017,      ,         ,
307.3648665,81.09127423,K0II                      ,K0,60,2,     ,    , ,0.942,-0.17,19.29,74 Draconis HR 7908
307.3627615,-42.93975847,G8 III                    ,G8,58,3,     ,    , ,0.903,      ,         ,
307.3629517,56.06820142,B8.5V                     ,B8,28,5,     ,    , ,-0.052,-1.16,363.5,HR 7843
307.3642221,53.36677908,A2                        ,A2,32, ,     ,    , ,0.098,      ,         ,
307.3677476,38.95155026,A0V                       ,A0,30,5,     ,    , ,0.044,      ,         ,
307.3682481,42.31667263,G2IV                      ,G2,52,4,0.42,3.5, ,0.673,1.37,6.8,
307.3750678,-12.59138236,K0 III                    ,K0,60,3,     ,    , ,1.098,-1.6,57.55,
307.3792302,-66.9624385,F6V                       ,F6,46,5,     ,    , ,0.504,1.18,9.34,
307.3805901,-22.39156743,K5 III                    ,K5,65,3,     ,    , ,1.543,-3.78,264.31,HR 7825
307.3856633,-57.95776475,G3V                       ,G3,53,5,     ,    , ,0.656,3.07,1.05,
307.3911959,38.94160586,B8...                     ,B8,28, ,     ,    , ,0.01,      ,         ,
307.3953547,62.99410487,A7   III                  ,A7,37,3,0.27,    , ,0.199,0.63,29.72,2 Theta Cephei HR 7850
307.3958116,-41.39973663,F2/3 IV                   ,F2,42,4,     ,    , ,0.357,0.68,21,
307.3980767,-10.00207141,G8 III/IV                 ,G8,58,3,     ,    , ,0.929,      ,         ,
307.3988145,60.99248311,F8                        ,F8,48, ,-0.2,3.6, ,0.513,2.24,3.87,
307.4013102,-53.92088292,K2/3III                   ,K2,62,3,     ,    , ,1.397,      ,         ,
307.4035663,-21.12631903,G6 III/IV                 ,G6,56,3,     ,    , ,1.165,      ,         ,
307.404345,-76.72254396,F2V                       ,F2,42,5,     ,    , ,0.409,1.84,6.02,
307.4072871,-22.84507802,K1 III                    ,K1,61,3,     ,    , ,1.293,      ,         ,
307.4124991,-2.885531391,K1/2  III                 ,K1,61,3,0.15,    , ,1.16,-1.43,58.58,69 Aquilae HR 7831
307.4143716,-67.6636335,K0                        ,K0,60, ,     ,    , ,0.78,3.26,0.89,
307.4163431,-55.11814491,F5WF0                     ,F5,45, ,     ,    , ,0.378,3.16,1.79,
307.4197956,-4.182608769,K4/5 III                  ,K4,64,3,     ,    , ,1.448,      ,         ,
307.4204458,5.661240637,A0                        ,A0,30, ,     ,    , ,0.281,      ,         ,
307.4238718,-33.02653134,A0 V                      ,A0,30,5,     ,    , ,0.046,      ,         ,
307.42343,-31.24461527,F5 V                      ,F5,45,5,     ,    , ,0.422,      ,         ,
307.4277289,50.31862429,B8                        ,B8,28, ,     ,    , ,-0.017,      ,         ,
307.4299167,38.12541982,B6V                       ,B6,26,5,     ,    , ,-0.07,      ,         ,
307.4330727,38.12949095,B9IV                      ,B9,29,4,     ,    , ,-0.05,      ,         ,
307.4329071,-19.09077146,F3 V                      ,F3,43,5,0,    , ,0.426,2.62,3.3,
307.4350499,45.4945634,B5                        ,B5,25, ,     ,    , ,-0.05,      ,         ,
307.4365166,-42.51975955,F0 V                      ,F0,40,5,     ,    , ,0.227,      ,         ,
307.4369022,2.996228605,A0 V                      ,A0,30,5,     ,    , ,-0.005,      ,         ,
307.4422064,-58.77201327,A1IV                      ,A1,31,4,     ,    , ,0.097,      ,         ,
307.4421959,39.65030197,F8                        ,F8,48, ,     ,    , ,0.524,1.98,4.05,
307.4468873,64.00055461,A5                        ,A5,35, ,     ,    , ,0.343,      ,         ,
307.4490156,36.98038069,B0.  IV    :P,B0,,20,4,     ,    , ,0.175,      ,         
307.456011,20.6051185,A0                        ,A0,30, ,     ,    , ,-0.018,      ,         ,
307.4691547,-18.5863542,A6V                       ,A6,36,5,     ,    , ,0.22,      ,         ,12 Omicron Capricorni HR 7829
307.4685747,44.48727558,B9                        ,B9,29, ,     ,    , ,-0.04,      ,         ,
307.472977,-25.78509774,G0 V                      ,G0,50,5,     ,    , ,0.599,      ,         ,
307.4746226,-18.58318356,A2Vn                      ,A2,32,5,     ,    , ,0.062,      ,         ,12 Omicron Capricorni HR 7830
307.479932,53.70443956,K0                        ,K0,60, ,     ,    , ,0.96,-2.19,106.66,
307.4803853,10.30207721,K0                        ,K0,60, ,     ,    , ,1.06,-2.15,95.21,
307.4809028,25.24878952,A5                        ,A5,35, ,     ,    , ,0.219,      ,         ,
307.4824549,48.11490814,B8                        ,B8,28, ,     ,    , ,0.175,      ,         ,
307.4889631,-70.85449351,F7V                       ,F7,47,5,     ,    , ,0.558,2.32,3.58,
307.492598,-77.65701511,F3V                       ,F3,43,5,-0.4,3.3, ,0.485,      ,         ,
307.4947798,14.71968207,K0                        ,K0,60, ,     ,    , ,1.342,      ,         ,
307.495013,30.55658233,A3                        ,A3,33, ,     ,    , ,0.192,1.43,14.08,
307.4987076,-56.08506883,F5/6V                     ,F5,45,5,     ,    , ,0.498,      ,         ,
307.4997616,45.92855649,K2III                     ,K2,62,3,-0.32,    , ,1.137,-1.8,62.05,HR 7841
307.5029998,72.53170331,K4III                     ,K4,64,3,     ,    , ,1.353,-3.56,275.61,HR 7868
307.5048283,48.77929518,A0                        ,A0,30, ,     ,    , ,0.131,      ,         ,
307.5067626,-4.437648095,F7/8 V                    ,F7,47,5,-0.18,4.8, ,0.551,2.63,2.51,
307.5082623,-78.90636488,F2IV/V                    ,F2,42,4,-0.16,    , ,0.422,2.57,3.08,
307.5147547,48.95156796,B4II                      ,B4,24,2,     ,    , ,-0.087,-2.1,1155.57,45 Omega-1 Cygni Ruchba
307.519872,19.66758956,B8                        ,B8,28, ,     ,    , ,-0.146,      ,         ,
307.5208579,48.64141097,A0                        ,A0,30, ,     ,    , ,0.054,1.75,16.79,
307.5231883,22.98124792,B9                        ,B9,29, ,     ,    , ,0,      ,         ,
307.5291475,45.44894275,F8                        ,F8,48, ,0.04,3.2, ,0.512,2.62,2.64,
307.530394,19.430142,B7V                       ,B7,27,5,     ,    , ,-0.12,      ,         ,
307.5351203,-67.01740955,A7V                       ,A7,37,5,     ,    , ,0.29,      ,         ,
307.5355861,-39.46766149,G8/K0 V                   ,G8,58,5,-0.01,17.3, ,0.779,3.49,0.75,
307.5353785,4.571572123,G:...                     ,,, ,     ,    , ,0.874,      ,         ,
307.5372889,37.16699414,K2                        ,K2,62, ,     ,    , ,1.331,-2.56,109.79,
307.5391006,30.92531145,K0                        ,K0,60, ,     ,    , ,0.869,      ,         ,
307.5407548,10.03428651,A2                        ,A2,32, ,     ,    , ,0.209,      ,         ,
307.5444704,26.84276119,K7                        ,K7,67, ,     ,    , ,1.34,4.48,0.13,
307.5467052,-46.9106906,F2 V                      ,F2,42,5,     ,    , ,0.536,      ,         ,
307.5569806,27.86611117,B8III/IV                  ,B8,28,3,     ,    , ,-0.062,      ,         ,
307.5594283,-51.75223968,G5/6 V                    ,G5,55,5,     ,    , ,0.778,3.88,0.53,
307.560169,19.42103623,A0Ib-II                   ,A0,30,1,     ,    , ,0.5,-0.86,217.04,
307.5620288,-1.172830505,K2 III                    ,K2,62,3,     ,    , ,1.354,      ,         ,
307.5633946,1.876855546,M4/5 III                  ,M4,74,3,     ,    , ,1.429,      ,         ,
307.5633107,-13.02853549,K0 III                    ,K0,60,3,     ,    , ,1.083,-1.07,33.79,
307.5722097,-35.35504286,K0                        ,K0,60, ,     ,    , ,1.195,      ,         ,
307.57265,-69.06923112,A3V                       ,A3,33,5,     ,    , ,0.1,      ,14.73,
307.574831,10.89590953,A1:III shell              ,A1,31,3,     ,    , ,-0.019,-0.77,197.74,1 Delphini HR 7836
307.5762283,77.73546248,K0                        ,K0,60, ,     ,    , ,1.117,-0.99,33.44,
307.5769532,-4.754629465,M6 III                    ,M6,76,3,     ,    , ,1.363,      ,         ,
307.5782221,54.68098328,F5                        ,F5,45, ,-0.01,3.5, ,0.534,2.46,2.98,
307.5833002,49.78016932,K0                        ,K0,60, ,     ,    , ,1.029,-1.19,34.53,
307.5882071,70.61152362,F5                        ,F5,45, ,     ,    , ,0.91,-0.77,31.8,
307.5912771,81.13948202,F8V                       ,F8,48,5,     ,    , ,0.635,3.03,1.47,
307.5922703,-11.79919843,K0 III                    ,K0,60,3,     ,    , ,1.092,      ,         ,
307.593312,-46.45539008,F5 V                      ,F5,45,5,     ,    , ,0.427,2.54,3.03,
307.5959988,-50.86886149,F6 V                      ,F6,46,5,     ,    , ,0.409,      ,         ,
307.5969228,40.66474186,B9.5IV                    ,B9,29,4,     ,    , ,-0.125,1.14,73.92,
307.5980599,54.98610117,G5                        ,G5,55, ,     ,    , ,0.905,      ,         ,
307.6052333,27.8327793,F8II-                     ,F8,48,2,0.67,    , ,0.64,-1.71,116.93,
307.6074808,-44.45682718,G0V                       ,G0,50,5,     ,    , ,0.566,2.91,1.73,
307.6116943,52.29386175,A2                        ,A2,32, ,     ,    , ,0.106,-0.65,101.13,
307.6152334,66.0568164,K5                        ,K5,65, ,     ,    , ,1.452,-3.3,213.33,
307.6187492,-45.52124056,G wl                      ,,, ,     ,    , ,0.737,      ,         ,
307.6203285,-33.15552517,K2 III                    ,K2,62,3,     ,    , ,1.217,      ,         ,
307.623883,-37.03515294,K0/1 III                  ,K0,60,3,     ,    , ,1.049,      ,         ,
307.6306469,43.46355548,A3                        ,A3,33, ,     ,    , ,0.19,      ,         ,
307.6335234,65.44955742,M3                        ,M3,73, ,     ,    , ,1.542,6.42,0.01,Gliese 793
307.6395018,13.81729908,F8                        ,F8,48, ,-0.1,2.9, ,0.501,2.04,4.39,
307.6407248,-64.19022359,F6III                     ,F6,46,3,0.08,1.3, ,0.471,0.47,19.48,
307.6427024,-5.389583695,K5 III                    ,K5,65,3,     ,    , ,1.612,      ,         ,
307.6439611,58.28722802,K0                        ,K0,60, ,     ,    , ,0.944,0.01,14.34,
307.6440326,-49.85519553,F3/5 V                    ,F3,43,5,     ,    , ,0.328,      ,         ,
307.6457109,44.31524185,O9.7Ia                    ,O9,19,1,     ,    , ,0.847,      ,         ,
307.6490815,8.669781123,A3                        ,A3,33, ,     ,    , ,0.325,1.51,10.69,
307.6499161,18.5497848,A2                        ,A2,32, ,     ,    , ,0.095,      ,         ,
307.6641912,-5.825938068,A8/F0 V                   ,A8,38,5,     ,    , ,0.264,2,7.14,
307.6653616,-16.55085323,F6/7 V                    ,F6,46,5,0.09,2.8, ,0.51,1.89,5.31,
307.6706131,-31.28787823,K5 III                    ,K5,65,3,     ,    , ,1.564,      ,         ,
307.6709975,-20.70970557,K2 III                    ,K2,62,3,     ,    , ,1.261,-2.32,91.62,
307.6725371,-39.27577647,M1 III                  ,M1,71,3,     ,    , ,1.52,      ,         ,
307.6816909,-45.58695778,K3 V                    ,K3,63,5,     ,    , ,1.566,      ,         ,
307.6852097,12.09092872,K5                        ,K5,65, ,     ,    , ,1.5,      ,         ,
307.6862861,-29.69081768,A6 II/III                 ,A6,36,2,     ,    , ,0.284,1.9,7.61,
307.6872211,36.39389207,F5                        ,F5,45, ,-0.19,1.5, ,0.396,0.79,16.38,
307.6901225,27.95869824,K0IV                      ,K0,60,4,     ,    , ,1.133,-0.89,27.91,
307.6922865,-15.7714203,A1 IV/V                   ,A1,31,4,     ,    , ,0.096,0.74,33.98,
307.6954248,-37.73366769,F0 V                      ,F0,40,5,     ,    , ,0.341,      ,         ,
307.7025453,-52.80805471,K3/5III:                  ,K3,63,3,     ,    , ,1.433,      ,         ,
307.702524,-39.41216557,G1 V                      ,G1,51,5,     ,    , ,0.601,      ,         ,
307.7085364,50.83900088,B3                        ,B3,23, ,     ,    , ,0.002,      ,         ,
307.7139711,-0.458291373,K5                        ,K5,65, ,     ,    , ,1.664,      ,         ,
307.7162059,-70.01511478,F5V                       ,F5,45,5,     ,    , ,0.461,2.97,1.97,
307.7196818,49.21319433,A1V                       ,A1,31,5,     ,    , ,0.051,0.64,42.29,
307.7243701,30.29075931,F6V                       ,F6,46,5,     ,    , ,0.492,2.38,2.91,
307.7258418,35.643725,K2                        ,K2,62, ,     ,    , ,0.998,      ,         ,
307.7323995,-10.03539945,G8 III/IV                 ,G8,58,3,     ,    , ,0.87,-2.02,86.97,
307.7360019,26.68553283,G9III                     ,G9,59,3,     ,    , ,0.962,-1.7,78.12,
307.7366783,-29.11266131,A9IV                      ,A9,39,4,     ,    , ,0.227,-0.89,100.97,HR 7832
307.7373759,-1.479084436,F2 V                      ,F2,42,5,     ,    , ,0.492,2.35,3.37,
307.7423112,20.60614815,A1   M                    ,A1,31, ,     ,    , ,0.138,1.24,20.47,HR 7839
307.7467857,36.93584494,F5Ib                     ,F5,45,1,     ,    , ,0.969,      ,         ,44 Cygni HR 7847
307.7502469,26.48692694,A0                        ,A0,30, ,     ,    , ,-0.008,      ,         ,
307.7571284,26.48326021,A0                        ,A0,30, ,     ,    , ,0.019,      ,         ,
307.7573864,-26.08676115,G2 V                      ,G2,52,5,     ,    , ,0.577,2.87,1.67,
307.7582909,59.87597209,G0                        ,G0,50, ,-0.16,3.1, ,0.506,1.92,4.49,
307.7595205,17.07613939,K5                        ,K5,65, ,     ,    , ,1.644,      ,         ,
307.7615331,40.4265631,B8III                     ,B8,28,3,     ,    , ,-0.08,0.15,134.4,
307.7679439,-15.05616516,K1/2 III  F              ,K1,61,3,-0.25,    , ,0.797,-1.34,50.19,HR 7837
307.7683082,54.59037591,F2III                     ,F2,42,3,-0.11,1.6, ,0.333,1.62,8.2,
307.7754775,15.80763041,A3V                     ,A3,33,5,     ,    , ,0.138,0.41,42.71,
307.776357,-2.593151232,F6 V                      ,F6,46,5,     ,    , ,0.515,2.64,2.21,
307.7776338,-30.70894857,K1 IV                     ,K1,61,4,     ,    , ,0.981,      ,         ,
307.7787477,40.85801675,K0III                     ,K0,60,3,     ,    , ,1.015,-1.56,56.66,
307.7823629,33.54292051,K0                        ,K0,60, ,0.17,    , ,0.884,2.96,1.2,
307.7882258,18.67132456,K2                        ,K2,62, ,     ,    , ,1.066,      ,         ,
307.7890791,45.60434603,K0                        ,K0,60, ,     ,    , ,1.095,      ,         ,
307.7942469,57.3877555,F5                        ,F5,45, ,-0.19,    , ,0.448,2.65,2.76,
307.7958599,55.32079738,B9                        ,B9,29, ,     ,    , ,0.1,      ,         ,
307.7970241,21.24407414,F8                        ,F8,48, ,     ,    , ,0.441,      ,         ,
307.799734,11.25934138,Am                        ,,, ,     ,    , ,0.287,      ,         ,
307.8014794,56.89001497,F8                        ,F8,48, ,     ,    , ,0.616,2.35,2.62,
307.8044399,11.26061946,B8V                       ,B8,28,5,     ,    , ,-0.011,      ,         ,HR 7840
307.8060964,5.219017312,K0 V                      ,K0,60,5,     ,    , ,0.696,3.02,0.67,
307.8057884,-62.24910159,K1III                     ,K1,61,3,     ,    , ,1.26,      ,         ,
307.8134785,6.355715348,K5                        ,K5,65, ,     ,    , ,1.637,      ,         ,
307.8145356,59.74487671,A2                        ,A2,32, ,     ,    , ,0.9,      ,         ,
307.8144027,32.52886022,A3                        ,A3,33, ,     ,    , ,0.038,      ,         ,
307.8213626,-80.54411103,F2II/III                  ,F2,42,2,0.34,1, ,0.371,0.8,17.81,
307.8212581,-28.42699781,G1 V                      ,G1,51,5,     ,    , ,0.546,2.91,1.63,
307.8284027,49.22029595,M2- IIIab                 ,M2,72,3,     ,    , ,1.566,-4.17,295.8,46 Omega-2 Cygni Ruchba
307.8345273,-17.13863697,M0 III                    ,M0,70,3,     ,    , ,1.664,      ,         ,
307.8381296,52.30952533,K0III                     ,K0,60,3,     ,    , ,1.018,-1.41,53.78,HR 7854
307.8399937,-44.37819052,K0 III                    ,K0,60,3,     ,    , ,1.071,      ,         ,
307.8411748,5.980004219,F5                        ,F5,45, ,     ,    , ,0.601,      ,         ,
307.8499273,28.60695839,B8IV/V                    ,B8,28,4,     ,    , ,0.046,      ,         ,
307.8520191,-18.08164751,F7 V                      ,F7,47,5,-0.27,3, ,0.553,3.03,1.72,
307.8527156,-27.74849742,A0 IV/V                   ,A0,30,4,     ,    , ,0.105,      ,         ,
307.8558246,22.05601766,F0                        ,F0,40, ,     ,    , ,0.318,2.17,5.85,
307.8598077,39.93882634,A1V                       ,A1,31,5,     ,    , ,0.058,1.13,28.7,
307.8618722,-32.61028071,K0 IV/V                   ,K0,60,4,     ,    , ,0.951,      ,         ,
307.8639203,17.60267929,K0                        ,K0,60, ,     ,    , ,1.042,      ,         ,
307.8697705,8.921080677,kA3hA8mF4                 ,,, ,     ,    , ,0.282,2.03,6.45,
307.8731983,56.17998143,B5                        ,B5,25, ,     ,    , ,0.225,      ,         ,
307.8727009,28.84202775,F2                        ,F2,42, ,     ,    , ,0.378,      ,         ,
307.8746307,33.09828333,K0                        ,K0,60, ,     ,    , ,0.912,      ,         ,
307.8752409,-63.33101197,F2IV                      ,F2,42,4,     ,    , ,0.421,      ,         ,
307.876747,74.95461849,A9:VpCrSrEu               ,A9,39,5,     ,    , ,0.1,-0.38,105.48,73 Draconis HR 7879
307.8833776,-33.76678012,F6 V                      ,F6,46,5,     ,    , ,0.493,      ,         ,
307.8836328,33.77586297,K4V                       ,K4,64,5,     ,    , ,1.141,4.35,0.21,Gliese 791.3
307.8834767,21.89507686,A3                        ,A3,33, ,     ,    , ,0.255,-0.27,60.05,
307.8868737,-48.00841232,G8 III                    ,G8,58,3,     ,    , ,0.9,      ,         ,
307.8898542,42.20390971,B8                        ,B8,28, ,     ,    , ,-0.04,      ,         ,
307.8955326,56.35590849,B9                        ,B9,29, ,     ,    , ,-0.134,0.83,125.84,
307.899123,-44.74651566,G8 III                    ,G8,58,3,     ,    , ,0.937,      ,         ,
307.9011,34.33037382,F4V                       ,F4,44,5,-0.02,2.2, ,0.422,2.13,4.78,
307.9016535,-42.01533734,K4 III                    ,K4,64,3,     ,    , ,1.412,      ,         ,
307.9021403,32.56454502,S5.8        V             ,S5,105,5,     ,    , ,2.457,      ,         ,
307.9141163,45.17129109,A0                        ,A0,30, ,     ,    , ,-0.07,1.05,54.79,
307.9169611,10.5318468,F8                        ,F8,48, ,     ,    , ,0.543,      ,         ,
307.9190095,62.4622614,A0                        ,A0,30, ,     ,    , ,0.207,      ,         ,
307.9207952,-35.52416277,K1 V                      ,K1,61,5,0.02,    , ,0.831,4.15,0.33,
307.9259652,-37.92473385,F2 V                      ,F2,42,5,     ,    , ,0.339,2.17,5.5,
307.9272148,-31.37499186,G2                        ,G2,52, ,     ,    , ,0.532,      ,         ,
307.9289934,-11.8843249,R6.                       ,R6,126, ,     ,    , ,1.46,      ,         ,
307.9317881,30.26087262,K2                        ,K2,62, ,     ,    , ,1.453,      ,         ,
307.931943,4.4157457,F2 V                      ,F2,42,5,     ,    , ,0.367,0.21,30.07,
307.9347936,24.10258776,K0                        ,K0,60, ,     ,    , ,1.072,      ,         ,
307.9384406,-35.96953571,G0 V                    ,G0,50,5,     ,    , ,0.578,3.19,1.43,
307.9384686,32.52256484,M6.5                      ,M6,76, ,     ,    , ,1.486,      ,         ,
307.9419292,-28.07342567,G8/K0 III                 ,G8,58,3,     ,    , ,0.934,      ,         ,
307.9438063,49.54236703,B9                        ,B9,29, ,     ,    , ,0.015,1.03,36.57,
307.9437433,56.7798581,K5III                     ,K5,65,3,     ,    , ,1.431,-4.23,392.45,HR 7860
307.9476639,-73.07169694,F0IV                      ,F0,40,4,     ,    , ,0.364,      ,         ,
307.9502146,55.56442343,A2                        ,A2,32, ,     ,    , ,0.192,      ,         ,
307.9630686,-26.9104113,G3/5 V                    ,G3,53,5,     ,    , ,0.767,      ,         ,
307.9672225,44.11198554,G5                        ,G5,55, ,     ,    , ,1.019,      ,         ,
307.9677168,16.99172951,B9                        ,B9,29, ,     ,    , ,-0.031,0.67,63.74,
307.968027,-77.20001163,F7V                       ,F7,47,5,0,3.3, ,0.548,      ,         ,
307.9697349,-40.90167564,K0/2  F/G                ,K0,60, ,-0.03,12.9, ,0.709,      ,1.67,
307.9697436,-13.77828704,F5 V                      ,F5,45,5,     ,    , ,0.478,2.51,2.95,
307.9709644,60.06332161,A0                        ,A0,30, ,     ,    , ,0.132,2.14,9.17,
307.974124,48.33754202,B5                        ,B5,25, ,     ,    , ,0.08,      ,         ,
307.9761786,-34.49521577,K0 III                    ,K0,60,3,     ,    , ,1.05,      ,         ,
307.9769922,-0.154382626,K0/1 IV                   ,K0,60,4,     ,    , ,1.113,-1.47,43.68,
307.9788194,15.91298754,G5                        ,G5,55, ,     ,    , ,1.427,      ,         ,
307.9814017,-3.441751643,F2 V                      ,F2,42,5,0.18,1.1, ,0.393,1.46,8.92,
307.9925565,25.80497775,A 3 M                     ,,33, ,     ,    , ,0.281,0.98,17.68,HR 7849
307.9958465,-50.18497686,G8 III                    ,G8,58,3,     ,    , ,0.944,      ,         ,
308.0016291,33.00610313,K2                        ,K2,62, ,     ,    , ,0.915,4.22,0.26,Ross 187
308.001966,-60.04375216,M3III                     ,M3,73,3,     ,    , ,1.598,      ,         ,
308.0035589,-65.81523529,F6IV/V                    ,F6,46,4,-0.23,3.8, ,0.518,1.63,6.17,
308.0075741,14.27419979,G0                        ,G0,50, ,0.18,4.3, ,0.616,1.58,5.78,
308.0133311,-23.54784923,G wl:                     ,,, ,-2.35,    , ,0.841,      ,         ,
308.0185608,60.42236702,F2                        ,F2,42, ,-0.2,1.6, ,0.323,2.05,5.33,
308.0213274,-5.242371106,K0 III                    ,K0,60,3,     ,    , ,1.2,-1.35,70.23,
308.0219607,-8.43832106,A4 V                      ,A4,34,5,     ,    , ,0.258,1.67,10.45,
308.023479,25.35205671,A0                        ,A0,30, ,     ,    , ,0.097,      ,         ,
308.0245595,62.49062695,K5                        ,K5,65, ,     ,    , ,1.732,      ,         ,
308.0265185,22.01412588,B9                        ,B9,29, ,     ,    , ,-0.049,      ,         ,
308.0269225,35.96894342,B5                        ,B5,25, ,     ,    , ,0.665,      ,         ,
308.0295125,70.47242921,A0                        ,A0,30, ,     ,    , ,0.181,1.9,9.79,
308.0319489,15.18672576,G0                        ,G0,50, ,-0.06,4.5, ,0.6,1.69,5.23,
308.033278,18.6276201,M4II-III                  ,M4,74,2,     ,    , ,1.62,-5.23,         ,
308.0368552,-47.70180692,K7- V k                 ,K7,67,5,     ,    , ,      ,      ,         ,
308.0377138,22.82433409,K0                        ,K0,60, ,     ,    , ,0.864,      ,         ,
308.0390112,-45.35544976,F3 V                      ,F3,43,5,-0.18,2, ,      ,      ,         ,
308.042626,15.8826296,G5                        ,G5,55, ,     ,    , ,1.061,      ,         ,
308.0438394,8.847794795,K0                        ,K0,60, ,     ,    , ,1.019,      ,         ,
308.045477,-72.97173632,G8III                     ,G8,58,3,     ,    , ,0.927,-0.25,18.08,
308.0536286,43.06598971,B9pSi                     ,B9,29, ,     ,    , ,-0.027,      ,         ,
308.0553106,-22.15484263,F0 V                      ,F0,40,5,     ,    , ,0.384,1.59,7.88,
308.0563869,65.39921342,K0III                     ,K0,60,3,     ,    , ,1.097,-1.69,59.37,
308.0611526,20.85956164,B8                        ,B8,28, ,     ,    , ,-0.117,      ,         ,
308.0613731,-71.86423893,A0/1IV/V                  ,A0,30,4,     ,    , ,0.045,1.42,23.28,
308.0612342,-24.06768381,B1/2 III                  ,B1,21,3,     ,    , ,-0.17,      ,         ,
308.0644837,-22.16174985,F0 IV                     ,F0,40,4,     ,    , ,0.413,1.58,9.4,
308.0657335,-14.45833326,G0                        ,G0,50, ,     ,    , ,0,      ,         ,
308.0673613,-17.00921158,G5 V                      ,G5,55,5,     ,    , ,0.646,2.54,2.23,
308.0710545,54.15630974,B9                        ,B9,29, ,     ,    , ,-0.093,-0.37,246.94,
308.0732493,-83.43077769,K1III                     ,K1,61,3,     ,    , ,1.295,      ,         ,
308.0743439,-43.11289243,G8 IV/V                   ,G8,58,4,     ,    , ,0.86,3.74,0.56,
308.0738853,2.220070129,K2/3 III                  ,K2,62,3,     ,    , ,1.457,      ,         ,
308.0789094,-24.87045968,K4/5 III                  ,K4,64,3,     ,    , ,1.507,      ,         ,
308.0826069,71.5610594,G0                        ,G0,50, ,     ,    , ,0.531,2.31,3.44,
308.0815168,-49.11584957,F5 V                      ,F5,45,5,     ,    , ,0.443,2.13,4.11,
308.085052,2.132806203,K4 III                    ,K4,64,3,     ,    , ,1.514,      ,         ,
308.0907945,-28.60175767,K0 III                    ,K0,60,3,     ,    , ,1.047,0.19,11.32,
308.0934344,41.30525936,O6.5/7f  O5.5/6f         ,O6,16, ,     ,    , ,1.408,      ,         ,
308.0941635,-38.42243728,M2/3                      ,M2,72, ,     ,    , ,1.523,      ,         ,
308.0945864,-7.453027479,G0/1 V                    ,G0,50,5,     ,    , ,0.641,      ,         ,
308.0971645,-38.28468121,G8 V                      ,G8,58,5,     ,    , ,0.942,      ,         ,
308.0987313,-9.853389281,G2V                       ,G2,52,5,0.06,7.8, ,0.689,2.06,3.07,Gliese 792.1 A HR 7845
308.0999644,6.517570936,G0V                       ,G0,50,5,-0.56,7.7, ,0.544,2.14,3.56,
308.1002649,5.274464567,F0/2 V                    ,F0,40,5,     ,    , ,0.394,      ,         ,
308.103199,58.81323519,A0                        ,A0,30, ,     ,    , ,0.262,1.41,11.62,
308.1048627,70.53209405,A0                        ,A0,30, ,     ,    , ,-0.017,0.09,97.8,
308.1066239,48.21647644,B0V                       ,B0,20,5,     ,    , ,-0.075,-1.27,542.17,
