_RAJ2000 deg,_DEJ2000 deg,SpTypeFull,Sp,Tc,Lc,[Fe/H] sun,age Gyr,Npl,B-V mag,Kmag mag,Lum Lsun,Name
267.6454087,7.23281027,F6VmF3                    ,F6,46,5,-0.22,2.9, ,0.437,1.48,7.53,
267.654961,9.542063762,A0                        ,A0,30, ,     ,    , ,0.116,0.55,39.28,
267.657,-79.29070514,F7V                       ,F7,47,5,     ,    , ,0.537,2.98,1.67,
267.6574247,51.24218585,K0                        ,K0,60, ,     ,    , ,1.086,-1.7,63.53,
267.6574649,-23.1249547,F5/7 V                    ,F5,45,5,     ,    , ,0.602,      ,         ,
267.6598227,-40.31835037,K3V                       ,K3,63,5,-0.03,    ,1,0.964,4.2,0.23,
267.6627221,39.55483496,G5                        ,G5,55, ,     ,    , ,0.971,      ,         ,
267.6630352,-21.93112711,F0 V                      ,F0,40,5,     ,    , ,0.546,2.69,2.11,
267.6767786,-16.15435911,A3 III/IV                 ,A3,33,3,     ,    , ,0.263,      ,         ,
267.681474,22.17494737,G5                        ,G5,55, ,0.1,5, ,0.571,1.15,8.68,
267.6816851,11.94654902,K1III-IV                  ,K1,61,3,     ,    , ,1.247,-2.78,126.58,HR 6650
267.682128,-35.53198526,B8 II                     ,B8,28,2,     ,    , ,0.02,      ,         ,
267.6848527,-42.46125328,F3 V                      ,F3,43,5,     ,    , ,0.37,2.05,5.32,
267.6894485,-5.330226743,A5 V                      ,A5,35,5,     ,    , ,0.365,1.09,13.47,
267.69005,26.46500732,K0                        ,K0,60, ,     ,    , ,1.031,      ,         ,
267.6964587,48.39793606,K0                        ,K0,60, ,     ,    , ,0.7,      ,         ,
267.7015953,22.31633032,A6Vn                      ,A6,36,5,0.02,    , ,0.242,0.59,25.66,HR 6655
267.7056396,-46.36363889,K1 IIICNII                ,K1,61,3,     ,    , ,1.167,      ,         ,
267.7156508,-42.33012261,K0 III                    ,K0,60,3,     ,    , ,1.039,-1.5,56.13,
267.7180895,-33.70566735,F6 IB                     ,F6,46,1,     ,    , ,1.66,      ,         ,
267.7186968,-54.80259632,F wl                      ,,, ,     ,    , ,      ,      ,         ,
267.7264248,35.34329081,G5                        ,G5,55, ,-0.23,2.7, ,0.431,2.26,4.22,
267.7284626,-44.114186,F3Ib                      ,F3,43,1,     ,    , ,0.611,      ,         ,
267.7296091,37.70469002,G0                        ,G0,50, ,-0.16,2.6, ,0.473,1.92,5.49,
267.731457,-76.05845844,K0III                     ,K0,60,3,     ,    , ,0.996,-0.63,25.18,
267.7365972,-17.25708999,A1 V                      ,A1,31,5,     ,    , ,0.304,0.95,12.59,
267.7386124,29.99581426,A2                        ,A2,32, ,     ,    , ,0.087,0.8,34.79,
267.7434031,-50.29090442,M1 III                    ,M1,71,3,     ,    , ,1.745,      ,         ,
267.7437596,72.4863161,K5                        ,K5,65, ,     ,    , ,1.18,      ,         ,
267.7452348,18.35012441,K0                        ,K0,60, ,     ,    , ,1.002,-0.7,25.34,
267.7465472,62.30133516,K5                        ,K5,65, ,     ,    , ,1.432,-2.75,122.78,
267.7496752,27.75723104,F8                        ,F8,48, ,     ,    , ,0.487,      ,         ,
267.7544168,12.2134069,K0                        ,K0,60, ,     ,    , ,1.092,      ,         ,
267.7581649,-49.33054217,F2                        ,F2,42, ,     ,    , ,0.532,      ,         ,
267.7588563,-35.07054491,A0 III/IV                 ,A0,30,3,     ,    , ,0.007,0.32,66.76,
267.763439,-32.98950471,B0.5 IAB                  ,B0,20,1,     ,    , ,0.542,      ,         ,
267.7650281,30.23367065,F5                        ,F5,45, ,     ,    , ,0.379,2.11,4.76,
267.767509,8.530825735,F0                        ,F0,40, ,     ,    , ,0.351,1.16,12.91,
267.7702452,-30.97009746,B9 IV                     ,B9,29,4,     ,    , ,0.149,      ,         ,
267.7703633,5.229026498,K5                        ,K5,65, ,     ,    , ,1.441,-3.98,253.6,
267.7725123,-54.26518457,F0IV                      ,F0,40,4,     ,    , ,0.394,1.29,10.23,
267.7787236,32.50975498,K0                        ,K0,60, ,0,    , ,0.807,3.6,0.74,
267.7785302,-32.30767964,G3IVe                   ,G3,53,4,-0.19,15.8, ,0.681,1.98,2.93,
267.780552,-27.39636988,G8/K0 V                   ,G8,58,5,-0.09,    , ,0.726,3.89,0.52,
267.7822506,-22.92100831,G3 V                      ,G3,53,5,0.09,7.6, ,0.656,2.57,2.09,
267.7823665,38.44253608,G5                        ,G5,55, ,     ,    , ,0.962,-1.02,38.52,
267.7825203,-38.154495,G5 V                      ,G5,55,5,     ,    , ,0.759,2.63,1.81,
267.7829997,-63.1933532,A8V                       ,A8,38,5,     ,    , ,0.362,      ,         ,
267.7858332,-56.7631302,F wl                      ,,, ,     ,    , ,      ,      ,         ,
